,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
242,29.0,5.0,1,1,1,1,1,3,0,0,1,0,0,1,0,0,0,1,2,1,0,2,0,0
243,31.0,6.0,1,0,0,1,1,1,1,3,1,0,2,0,0,0,1,1,2,2,2,2,2,0
244,31.0,1.0,0,0,0,0,1,2,1,0,0,0,1,0,0,2,0,2,1,1,1,3,2,1
245,38.0,6.0,1,1,0,1,1,3,2,2,2,2,3,3,1,2,2,1,3,3,3,2,0,0
246,17.0,4.0,0,1,0,1,1,3,0,0,0,0,3,3,1,3,2,2,1,2,1,0,1,1
247,25.0,2.0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,2,0,0,3,1,0
248,20.0,2.0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,2,1,0
249,15.0,2.0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,2,0,1,0
250,16.0,4.0,1,0,1,1,0,1,1,3,1,0,1,1,0,0,3,1,2,0,1,1,3,0
251,20.0,2.0,1,1,0,0,1,2,0,3,0,0,2,0,2,0,0,0,2,0,0,2,2,1
252,23.0,6.0,1,0,0,1,1,0,0,2,2,0,1,0,2,2,0,0,3,3,2,1,0,0
253,22.0,3.0,1,0,0,1,1,1,0,2,1,0,3,1,0,2,1,2,3,2,3,2,1,0
254,15.0,5.0,1,0,0,1,1,1,0,3,1,0,0,0,0,0,2,1,3,0,0,3,2,0
255,17.0,0.5,1,1,0,0,1,1,2,2,0,0,0,1,0,0,0,1,2,1,1,2,3,0
256,22.0,1.0,1,0,0,1,1,1,0,1,2,0,1,0,0,0,2,0,1,0,0,1,3,0
257,21.0,10.0,1,0,0,1,1,0,1,1,0,0,3,0,1,0,0,3,2,2,3,3,2,1
258,19.0,2.0,1,0,0,0,1,1,0,2,1,0,1,2,2,2,2,0,3,3,2,3,3,0
259,32.0,0.5,0,0,0,1,0,3,0,2,1,0,0,1,0,0,0,2,1,0,0,3,1,0
260,34.0,1.0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,2,3,0,1
261,18.0,2.0,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,3,1,0,1,3,2,1
262,21.0,3.0,1,0,0,1,0,1,3,0,2,1,1,0,0,0,0,1,2,0,0,3,2,1
263,20.0,3.0,0,0,0,1,1,1,3,1,2,0,2,1,2,0,0,0,3,3,1,2,0,0
264,19.0,2.0,1,0,0,1,0,1,3,1,2,1,0,0,0,1,1,2,1,0,0,2,0,0
265,25.0,1.0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,3,1,1,3,3,1
266,31.0,8.0,1,1,0,1,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1
267,21.0,1.0,1,1,0,1,1,3,1,1,2,0,1,0,2,0,1,3,3,2,3,2,3,0
268,31.0,1.0,0,0,1,1,1,3,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0
269,20.0,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,3,0,0,2,0,0
270,19.0,5.0,1,1,0,1,0,2,1,0,0,0,1,2,0,0,0,3,2,2,1,3,0,0
271,19.0,5.0,1,0,0,1,1,1,0,3,2,0,2,1,0,2,3,3,1,0,3,2,1,0
272,23.0,4.0,1,0,0,1,1,1,2,2,0,0,2,0,1,0,2,3,3,3,3,3,1,1
273,24.0,8.0,1,0,1,1,0,2,1,3,1,1,3,3,1,1,3,3,1,1,2,3,3,0
274,20.0,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,1,0,3,1,0
275,15.0,3.0,0,0,0,0,0,1,1,2,1,1,2,1,0,0,3,1,3,0,0,3,3,0
276,17.0,7.0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,1,1,1,1,3,1,1,1
277,20.0,1.5,0,1,1,0,1,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,0
278,14.0,4.0,1,1,1,1,1,2,0,2,1,0,1,2,2,0,3,0,2,1,1,0,3,0
279,24.0,4.0,1,0,0,1,1,2,1,0,1,1,1,0,0,0,0,3,2,1,1,3,0,1
280,14.0,10.0,1,0,1,0,0,1,0,2,0,0,2,1,0,0,3,2,0,0,2,1,3,0
281,23.0,2.0,1,1,1,1,0,3,0,1,1,0,2,2,0,1,1,1,2,2,2,3,2,1
282,28.0,2.0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,2,1,2,1,0,3,1,0
283,22.0,6.0,1,0,0,1,1,2,1,3,1,1,1,3,2,0,2,2,2,2,1,3,2,1
284,25.0,0.5,1,1,0,1,1,1,0,3,0,0,1,0,1,0,0,1,2,1,1,3,2,0
285,27.0,2.0,1,1,1,1,1,2,1,3,0,0,2,3,3,2,2,2,3,3,1,2,2,1
286,18.0,5.0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,2,3,1,2,3,3,1
287,17.0,3.0,1,1,1,1,0,1,1,0,2,0,2,3,0,1,0,2,3,3,3,3,0,1
288,23.0,4.5,1,0,0,0,1,2,1,0,2,1,2,1,1,0,1,2,2,1,2,3,2,0
289,40.0,3.0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,1,2,2,1,0,2,0,0
290,27.0,10.0,1,0,0,1,1,2,1,2,1,0,1,0,2,1,2,3,1,0,1,3,2,1
291,18.0,1.0,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,3,1,2,2,1,0
292,16.0,2.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,3,2,0
293,18.0,1.0,0,0,0,1,1,2,1,0,2,0,2,0,0,0,0,2,2,1,1,3,1,1
294,23.0,2.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
295,15.0,5.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,2,0,1
296,20.0,3.0,1,1,0,1,0,2,1,0,0,0,1,2,0,0,1,3,1,0,1,3,2,0
297,16.0,3.0,1,1,0,1,0,0,1,0,1,0,0,0,0,2,0,1,1,1,1,3,1,1
298,16.0,0.5,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,2,0,0,3,2,0
299,20.0,8.0,1,1,1,1,0,0,3,0,2,0,1,0,0,0,0,0,1,1,1,2,0,1
300,33.0,2.0,1,0,0,1,1,1,1,0,1,0,2,0,0,0,0,3,0,0,2,2,2,0
301,22.0,3.0,1,1,1,1,1,0,3,1,2,0,1,2,0,3,0,1,2,3,2,3,0,1
302,21.0,3.0,1,0,0,1,1,0,0,1,0,0,3,1,0,0,2,0,3,3,3,3,0,1
303,21.0,5.0,1,1,0,1,1,1,0,2,0,0,3,2,0,0,2,3,1,2,3,2,2,1
304,29.0,1.5,1,0,1,1,1,1,0,2,0,0,1,1,0,0,0,1,3,3,3,3,0,1
305,56.0,1.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,0,0
306,17.0,2.0,1,1,0,1,0,2,0,0,0,0,1,1,0,0,1,0,3,1,1,0,1,0
307,22.0,1.0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,3,0,0,1,1,0
308,26.0,4.0,1,0,0,1,1,2,2,1,1,0,2,0,1,0,1,0,3,1,1,3,1,1
309,30.0,1.0,1,0,0,1,1,0,0,3,0,0,2,0,0,0,0,1,0,0,2,0,0,0
310,49.0,2.0,1,0,0,1,0,1,1,2,3,0,2,1,0,0,2,1,2,2,2,1,1,0
311,22.0,2.0,1,1,1,1,1,1,2,3,2,1,2,2,1,1,2,3,2,2,3,2,3,0
312,32.0,2.0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,2,1,2,2,2,2,0,1
313,32.0,1.0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,2,3,1,0,3,0,0
314,22.0,6.0,1,0,0,1,0,0,3,0,1,0,2,0,0,1,0,2,0,0,2,3,1,0
315,17.0,2.0,1,0,0,1,1,0,1,2,2,1,1,2,1,1,1,3,3,2,2,3,2,1
316,21.0,4.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,3,0,0
317,17.0,1.5,1,0,0,1,1,3,0,1,1,0,0,0,0,3,1,1,2,2,1,3,1,1
318,25.0,3.0,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,3,2,2,0,3,2,1
319,15.0,4.0,1,0,1,1,0,0,0,1,0,0,1,0,2,0,3,2,3,2,1,3,0,0
320,13.0,10.0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1,1,3,0,1,0
321,38.0,3.0,1,0,0,0,1,3,1,0,1,0,0,2,0,1,0,3,2,1,0,3,0,1
322,23.0,3.0,0,0,0,1,0,1,0,2,2,0,1,0,0,0,1,1,2,0,0,3,2,0
323,17.0,3.0,1,0,0,1,1,2,2,2,1,1,3,1,3,0,3,0,3,3,3,3,1,0
324,59.0,2.0,1,0,0,1,0,1,0,3,1,0,1,2,1,1,1,0,3,3,1,2,0,0
325,22.0,2.0,1,1,1,1,0,1,1,0,1,1,2,2,0,1,1,0,3,3,2,2,1,1
326,17.0,3.0,1,0,0,1,1,2,1,0,0,0,3,2,3,1,0,0,3,1,3,2,1,0
327,27.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,1,1
328,23.0,5.0,1,1,0,0,0,2,0,2,0,0,1,1,1,0,2,1,2,1,2,2,2,1
329,15.0,6.0,1,0,0,0,0,1,0,2,1,0,2,1,0,0,1,1,2,2,0,3,2,0
330,22.0,3.0,1,1,1,1,0,1,1,3,2,1,2,1,0,0,1,2,2,2,2,3,3,0
331,23.0,5.0,1,0,0,1,1,3,1,2,2,1,1,2,1,1,3,1,3,3,1,3,3,1
332,19.0,5.0,1,0,0,1,1,1,3,0,3,2,1,2,0,3,1,0,2,2,1,2,0,0
333,32.0,6.0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,2,1,1,3,1,1
334,40.0,6.0,1,0,0,1,1,2,2,2,2,1,2,2,0,2,2,1,2,2,2,3,1,1
335,21.0,3.0,1,0,0,1,0,0,3,1,2,1,2,0,0,0,0,1,2,1,2,2,0,0
336,21.0,10.0,1,0,0,1,1,1,0,3,2,0,1,1,1,1,2,2,3,2,1,3,3,1
337,23.0,2.0,1,0,0,1,1,2,0,3,0,0,1,1,2,0,2,0,3,1,2,2,3,1
338,21.0,2.0,1,0,0,0,1,1,1,3,1,1,1,0,0,0,2,1,2,1,1,2,3,1
339,35.0,3.0,0,1,0,1,0,2,2,0,2,0,0,1,0,0,1,0,1,0,0,2,2,0
340,18.0,1.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,0,2,2,0,1
341,21.0,10.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1
342,22.0,2.0,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,3,0,1,2,3,0
343,23.0,3.0,1,1,1,1,1,1,1,0,3,0,2,2,0,0,0,3,3,3,2,3,0,1
344,13.0,2.5,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
345,19.0,3.0,1,0,0,1,1,2,1,1,2,0,1,0,3,0,2,0,3,3,3,3,0,0
346,33.0,0.5,1,1,0,0,0,2,0,1,0,0,0,1,0,0,1,2,1,0,0,2,1,1
347,18.0,10.0,1,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,0
348,17.0,6.0,1,1,0,1,1,3,1,0,0,0,1,2,1,0,2,0,3,0,0,0,1,0
349,16.0,3.0,1,0,0,1,1,1,0,3,0,0,3,2,3,0,1,2,3,1,3,3,3,0
350,18.0,0.5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,3,0,0
351,19.0,5.0,1,0,0,1,1,1,2,2,0,0,1,1,3,1,0,0,3,3,1,1,1,0
352,15.0,2.0,0,1,0,1,1,3,2,0,3,2,3,2,2,0,3,2,1,3,3,2,3,0
353,17.0,2.0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3,3,0,3,3,3,0
354,25.0,2.0,1,0,0,1,1,2,1,2,1,0,3,3,1,2,3,0,2,1,2,3,2,1
355,24.0,1.5,1,0,0,0,1,2,1,3,1,2,2,2,3,1,3,3,3,2,2,3,3,0
356,23.0,1.0,1,1,0,1,0,1,1,3,0,1,0,3,1,1,0,2,1,2,0,3,2,1
357,16.0,10.0,1,1,0,1,1,1,1,3,2,0,1,2,1,0,1,1,3,2,2,2,2,1
358,25.0,2.0,1,0,0,1,1,1,1,1,1,2,1,2,0,1,1,3,2,1,1,3,2,1
359,16.0,10.0,1,1,1,1,0,1,0,3,0,0,1,1,0,0,1,2,2,0,3,3,2,1
360,20.0,0.5,0,0,0,1,1,2,1,2,0,0,2,2,0,0,2,2,1,1,1,2,2,1
361,17.0,3.0,1,0,0,1,0,0,1,1,0,2,2,0,0,0,0,3,0,1,2,3,0,0
362,29.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0
363,20.0,4.0,1,0,0,1,0,0,1,3,1,0,3,0,0,0,0,0,2,2,3,2,0,0
364,16.0,2.0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,3,0,1,2,0,1
365,21.0,1.0,1,0,0,1,0,1,2,2,2,0,2,1,1,1,1,1,3,0,2,3,3,1
366,16.0,10.0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,0
367,43.0,1.0,1,0,0,1,0,2,0,0,2,1,2,1,0,0,1,0,3,1,1,2,0,0
368,32.0,2.0,1,1,0,1,0,3,2,1,3,2,2,2,1,2,1,3,3,2,1,3,3,1
369,10.0,2.0,1,1,0,1,1,3,0,1,0,0,1,1,3,0,1,0,3,0,1,0,3,0
370,27.0,3.0,1,0,0,1,1,1,1,2,0,0,2,0,2,1,2,3,2,1,3,3,3,0
371,24.0,3.0,1,1,0,0,1,3,0,0,0,1,1,0,0,2,1,2,1,0,1,0,0,0
372,18.0,2.0,1,0,0,1,1,1,0,1,0,1,3,1,3,2,0,0,2,3,3,0,0,1
373,17.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,2,1
374,19.0,6.0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,0
375,16.0,3.0,1,0,0,1,1,2,0,2,0,0,1,1,1,0,1,2,2,2,2,3,2,1
376,64.0,5.0,1,0,1,1,0,2,1,0,1,2,2,3,2,0,1,2,1,2,1,3,0,0
377,33.0,4.0,1,1,1,1,1,2,1,1,2,0,2,2,1,1,3,3,2,1,2,2,2,1
378,32.0,3.0,1,1,0,0,1,3,2,2,2,0,0,3,1,1,0,3,1,0,1,3,1,0
379,15.0,2.0,1,1,0,1,0,1,2,0,0,0,0,0,1,3,0,0,3,2,2,0,0,0
380,27.0,3.0,1,0,0,1,1,3,3,0,1,0,1,0,0,0,0,3,2,0,1,3,1,0
381,20.0,2.0,1,0,0,1,0,1,1,0,2,0,0,1,0,0,0,1,2,1,0,3,2,0
382,23.0,2.0,1,0,0,1,1,1,3,0,1,3,3,2,1,0,1,0,3,3,3,3,2,0
383,19.0,3.0,0,1,0,1,0,3,1,0,1,1,2,1,0,0,0,1,2,0,0,3,2,0
384,12.0,2.0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
385,16.0,3.0,1,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1
386,17.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
387,14.0,1.0,1,1,0,1,0,1,1,3,1,1,2,2,2,1,2,1,3,2,2,2,2,0
388,32.0,2.0,1,0,0,1,0,1,1,3,1,1,1,1,1,0,2,3,2,1,1,2,3,0
389,20.0,2.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
390,54.0,6.0,1,0,0,0,0,3,2,0,0,0,2,1,1,1,0,1,2,2,1,1,0,0
391,18.0,5.0,1,0,0,1,1,0,1,1,0,0,1,1,3,1,1,0,3,1,2,2,0,0
392,14.0,2.0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,1,2,2,0,1,3,1,0
393,13.0,4.0,1,1,1,1,0,3,0,2,1,0,0,1,1,0,0,1,3,0,0,2,2,0
394,19.0,8.0,1,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0
395,14.0,4.0,1,1,0,1,0,3,0,1,0,0,2,2,1,1,1,2,2,2,2,2,1,1
397,18.0,2.0,1,1,0,1,1,3,0,2,0,0,3,2,1,3,2,1,2,2,3,1,2,0
398,15.0,5.0,1,0,0,1,1,1,2,0,3,1,2,0,0,0,2,0,0,0,2,1,1,1
399,24.0,6.0,1,1,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1
400,17.0,2.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,3,3,0,0,2,1
401,44.0,2.0,0,0,0,1,0,2,2,2,2,1,2,1,1,0,0,2,2,2,2,3,0,1
402,23.0,1.0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,3,0,0
403,21.0,1.0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,1,2,2,2,1,0,0
404,57.0,2.0,0,0,0,1,0,1,2,0,0,1,2,2,0,0,0,0,2,2,2,1,0,0
405,23.0,2.0,1,1,0,1,1,1,1,0,3,0,1,0,0,0,3,3,3,0,2,3,3,0
406,18.0,1.0,1,1,0,0,1,2,1,0,0,1,0,1,0,2,1,0,3,0,0,0,3,1
407,26.0,10.0,1,0,0,1,1,2,2,1,3,0,3,3,1,1,3,1,2,3,3,3,1,1
409,15.0,3.0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0
410,57.0,2.0,1,1,1,1,0,0,0,0,0,0,1,2,0,1,1,2,2,2,1,3,0,0
411,12.0,0.5,1,1,1,1,1,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1
412,26.0,6.0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1
413,17.0,1.0,1,1,0,0,0,0,3,0,1,1,0,1,0,0,0,1,1,1,0,2,1,0
414,17.0,2.0,1,1,0,1,1,3,0,1,0,0,0,0,1,0,1,1,2,1,0,2,2,1
415,69.0,4.0,1,1,1,1,1,3,2,0,2,2,1,3,1,1,1,0,2,2,0,3,0,0
416,17.0,3.0,1,1,1,1,1,3,0,1,0,2,3,3,3,2,0,1,3,3,3,2,0,1
417,32.0,10.0,1,1,1,1,1,0,0,2,1,0,2,3,1,0,2,0,1,2,1,0,0,0
418,22.0,3.0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0
419,38.0,1.0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,3,0,0,0,2,1,0
420,18.0,10.0,1,0,0,1,0,0,0,3,2,0,2,0,0,0,2,0,3,3,3,0,0,1
421,14.0,5.0,1,1,0,1,1,3,1,1,1,1,1,1,2,1,2,0,2,2,1,1,3,0
422,14.0,0.5,1,1,0,1,1,3,0,0,1,0,0,1,2,1,0,0,3,0,0,0,3,0
423,19.0,5.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,3,2,1,1,3,2,0
424,20.0,3.0,1,1,1,1,0,3,2,1,2,1,1,3,1,1,0,1,2,2,1,1,1,0
425,18.0,2.0,0,0,0,1,0,0,3,0,1,1,1,1,0,0,0,2,3,0,2,2,2,0
427,31.0,4.0,1,1,0,1,1,3,1,0,1,1,0,2,0,0,1,1,0,0,0,2,2,1
428,72.0,6.0,1,1,1,0,0,0,2,0,0,0,0,3,0,2,0,0,1,3,0,3,0,0
429,73.0,3.0,1,0,0,1,1,2,3,1,2,3,2,2,1,3,0,1,2,3,2,2,0,0
430,16.0,4.0,1,0,0,1,1,1,1,2,2,1,3,1,2,1,2,1,3,1,1,1,1,0
431,19.0,3.0,0,1,0,1,1,1,0,2,0,0,2,1,0,0,1,0,2,1,3,2,2,0
432,16.0,2.0,1,1,0,0,0,3,1,0,1,0,1,1,0,0,1,0,3,0,0,1,1,0
433,12.0,2.0,1,1,1,1,1,3,1,0,0,1,2,1,1,0,0,0,2,0,1,2,0,0
434,39.0,1.0,1,0,0,1,1,0,1,1,2,0,3,1,1,1,2,2,3,2,3,3,0,0
435,15.0,6.0,1,1,0,1,1,2,0,1,2,0,1,2,3,2,2,1,3,2,1,3,0,1
436,14.0,9.0,1,0,0,1,1,3,1,1,1,1,2,1,3,1,2,1,3,3,3,1,1,1
437,21.0,1.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,38.0,1.0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,2,1,1,1,3,0
439,23.0,0.5,0,0,1,1,1,2,2,1,1,1,3,1,3,1,2,1,2,2,3,1,2,1
440,16.0,1.0,0,0,0,1,0,0,0,3,0,0,2,1,0,0,2,2,1,1,1,2,2,0
441,21.0,1.5,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
442,13.0,6.0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,1,0,3,0,0,0
443,16.0,4.0,1,0,0,1,0,1,2,2,2,0,2,1,2,0,3,3,3,0,0,3,2,0
444,18.0,6.0,1,0,1,1,0,2,1,1,3,0,2,0,2,0,3,3,2,1,2,3,3,0
445,21.0,4.0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,1,2,0,0,0,3,3,0
446,17.0,1.5,1,0,0,1,1,3,1,0,1,0,0,2,0,0,2,0,3,1,0,0,0,0
447,24.0,2.0,1,0,0,1,1,1,2,0,3,0,2,2,0,1,2,0,1,1,2,3,0,1
448,14.0,2.0,1,0,0,1,0,1,0,0,2,0,2,0,1,3,1,1,3,2,2,1,0,0
449,25.0,4.0,1,0,0,1,1,2,1,1,3,1,2,2,1,1,2,2,2,1,2,3,3,0
450,22.0,3.0,1,0,0,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,1,0
451,20.0,4.0,1,0,0,1,1,1,0,2,0,0,1,0,3,1,1,2,3,1,1,3,1,1
452,23.0,2.0,1,0,0,0,0,2,1,1,2,0,3,2,0,0,0,0,3,3,3,2,2,0
453,61.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,2,0,0
454,24.0,6.0,1,0,0,0,1,2,0,2,3,0,0,0,1,0,1,2,1,0,0,3,3,0
455,34.0,0.0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1
456,49.0,1.0,0,0,0,1,0,2,0,0,0,0,3,1,0,0,3,0,3,3,3,2,0,0
457,33.0,4.0,1,1,0,1,1,1,2,1,1,1,1,1,0,0,3,1,2,1,1,3,3,0
458,22.0,2.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,3,3,0
459,38.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0
460,23.0,4.0,0,0,0,1,0,1,1,0,1,0,3,1,0,0,2,1,3,2,2,2,1,1
461,34.0,2.0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,1,1,0,0,2,1,3,1
462,40.0,3.0,1,0,0,1,1,0,0,0,0,0,0,2,0,2,0,3,1,1,0,2,0,0
463,27.0,1.0,0,0,0,1,0,2,0,1,0,0,3,1,0,0,1,0,2,3,3,0,0,0
464,54.0,10.0,1,0,0,1,0,2,2,0,1,0,0,1,0,0,0,1,1,2,0,2,0,0
465,16.0,10.0,0,0,0,1,0,1,3,0,3,1,1,2,0,0,0,3,2,1,1,3,0,0
466,23.0,10.0,1,0,0,0,1,1,0,2,2,0,1,0,2,0,2,1,2,0,1,2,3,1
467,35.0,4.0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0
468,22.0,4.0,1,0,0,1,1,1,2,3,3,0,2,2,0,1,2,3,3,2,2,3,2,1
469,41.0,3.0,0,0,0,1,1,3,1,0,1,0,0,0,2,0,0,3,1,0,1,2,3,0
470,63.0,2.0,1,0,0,1,0,3,2,1,3,0,1,2,0,1,0,0,0,1,0,3,0,0
471,28.0,1.0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,2,1,2,0,1,2,0,0
472,22.0,6.0,1,1,0,1,0,1,3,2,3,1,2,2,0,1,2,2,2,1,2,3,2,1
473,58.0,1.0,1,0,0,1,0,1,2,1,2,2,2,2,0,1,1,2,1,2,2,2,0,0
474,58.0,1.0,1,1,1,1,0,2,1,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0
475,67.0,4.0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0
476,70.0,2.0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,60.0,2.0,1,0,0,0,1,2,2,0,2,1,0,1,0,1,0,1,2,2,1,3,1,0
478,15.0,2.0,1,1,1,1,0,1,1,2,0,2,1,2,2,0,0,0,3,2,0,2,3,1
479,18.0,6.0,1,0,0,1,1,3,1,3,1,2,3,2,0,2,3,2,3,3,3,2,3,0
480,58.0,3.0,1,0,0,1,1,2,0,2,1,2,3,3,0,2,3,0,1,3,2,2,0,0
481,28.0,1.0,1,0,0,1,1,2,1,1,1,1,2,2,1,2,3,1,2,2,1,2,2,1
482,22.0,4.0,1,1,0,1,0,1,1,0,2,0,1,2,0,0,3,1,2,1,1,3,0,1
483,49.0,0.5,0,0,0,0,0,3,2,1,2,3,2,2,1,1,0,1,2,2,2,1,1,0
484,20.0,8.0,1,0,0,1,1,0,1,1,2,0,0,1,0,0,1,2,1,2,0,3,2,0
485,55.0,10.0,1,0,0,0,0,1,0,0,3,0,0,2,0,1,0,0,1,0,0,3,0,0
486,48.0,1.5,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,1
487,14.0,2.0,1,1,0,1,1,2,0,1,0,0,2,2,3,0,2,0,1,1,1,0,1,0
